id,SalePrice
2658,152234.18586732255
2718,166541.72962013222
2414,226981.40796884015
1989,113437.63597582778
625,177163.32312491286
333,79042.39697456437
1327,93314.3275075935
858,127616.70613384951
95,181043.8254170993
1568,164630.18945585392
2482,159572.5836220853
1364,124567.1685128831
2584,154569.6533750965
818,305840.7265517781
2673,155406.96777391701
2089,143798.06182456965
1297,160122.86925929738
790,119632.45559614073
2616,191926.5542766593
720,184317.07761685795
222,149485.67346109307
557,129396.80685113388
1148,192398.49784256215
2766,184155.37149535815
534,173753.64627861945
1452,110990.66065392882
630,151494.66573112397
2648,130012.73196252552
125,168773.7892111549
1904,56136.2297844733
1670,94940.42076874922
756,91012.73876506984
717,208276.50295520952
1032,152288.8294334847
852,201779.68650366465
1731,191056.76736470917
2639,123085.44345514778
2071,98376.0094215037
1267,125895.51277956291
1851,178946.83606173092
567,165141.04766522945
2439,207235.5131080015
1898,149939.03479798167
647,162110.58518850087
2256,216077.57313912068
979,90786.77963545152
1444,218677.95408363015
2485,123554.6206179591
157,124115.67094419242
88,126083.73789917806
2003,109268.39877894922
186,189928.81093962202
1425,233085.25972536145
2695,119401.45600121225
738,105837.52266360667
395,156906.22393803488
1353,163756.9532281295
1878,148578.97635449204
390,171252.6501794409
1456,230108.80223985182
1103,308164.60905606253
1387,134703.24453180985
2070,160190.06734957435
1199,170735.08316185168
2479,172349.31786171815
501,322466.7150879238
2362,83372.7177753288
1718,220682.50542541445
2188,79404.35728050386
1483,167158.99796441183
2557,90926.67352833776
437,353621.7773490477
2224,202205.63106543408
1628,182211.86300414562
397,125208.0813324397
587,196124.49666827478
2182,507494.51403803506
971,161609.65316985972
2611,142945.50135208666
1887,95064.22311185482
2399,372194.1868391041
2148,195485.829595623
304,138249.90648471797
1997,127074.80312865015
2817,132052.30748430715
1431,222405.5454799299
427,353772.8435628897
263,120474.85460266331
598,185180.8911437386
2895,221476.4137082984
687,150203.6352622252
1822,128462.76074110695
2191,108918.90335922285
179,142411.36953646768
1009,261598.74852158866
2010,125436.7607570632
1991,134437.84530254887
1411,154649.4305502372
1721,246656.58201305103
1144,190340.76445259908
593,215124.2768517787
575,288144.9468249398
1249,180638.41058048257
1604,120829.67561860914
1064,439291.9466499858
1923,160777.12368050317
1988,96362.76225106891
2325,172410.43665764647
114,195943.60406865148
2700,168215.7047919785
217,141662.1506107054
343,184695.4760831492
386,219652.88752411323
2005,119286.15669956326
2908,125181.66908285991
1814,235073.228915456
2446,461450.7112059577
208,138744.30322380073
1679,108210.93547455617
822,332346.8616575783
6,192739.52797791653
1781,368958.25652313884
2397,308521.91111717455
2340,346580.97969222907
1618,170388.72115946992
2843,131333.9852691866
1061,360245.96703081887
2786,117256.64871591373
1935,132127.01627947707
1341,132735.71572881087
521,247357.53634163755
2136,135090.18717580574
996,216880.53734535808
227,155709.07875791824
135,187642.78423790252
1167,164149.7868234013
294,214431.3530067238
1776,196522.73793262633
540,173608.33345740172
1717,231945.53970411958
2303,117103.66500893244
116,182427.13552499
127,148855.9316255073
1371,131399.60263221874
1014,180252.16325723106
1507,110300.28552104892
702,133209.9836371576
750,148815.0087019457
261,145372.32783924168
1559,94277.66300497156
577,189043.12431938932
2812,194663.56159037014
2080,154144.62242432256
1368,109306.16665604516
2376,124566.7519957577
659,115981.0545953844
1235,122935.65969197823
332,71324.57938785723
1917,139495.77285687695
2094,260676.35769626906
1460,242366.64418967924
1471,215657.0828272831
1509,123515.45943638255
1922,126681.41032463004
433,440529.54663545184
460,306916.75193177594
1116,229379.31301998
1137,168535.93148694624
53,174699.11632935278
2354,264672.09046712867
1475,188222.61023639527
1761,469149.9261210151
842,137638.83636753983
2739,190647.2247883695
2509,158118.37428828384
1007,200543.4336603778
2610,174793.5457055837
1952,101536.1239994499
2719,165894.57231085055
2921,73611.55763827488
1966,136695.627456663
292,133400.10852905727
1204,201122.6080637989
1829,257106.6168558861
2419,198433.9103054003
391,155486.43122933173
798,115068.54718491515
481,207557.20429730098
193,182898.03244895453
555,131790.5448213517
899,89275.80828704342
2357,181364.70199345893
328,135077.20889037396
1356,147833.71610385954
1154,103489.25044111673
1730,194903.84535221363
2249,155472.04565568865
1119,273997.87768243416
2856,146302.23609778332
1394,133354.96331553342
2587,120810.19340202172
61,326145.11261356116
2661,184005.16022451187
2711,126453.21105341605
1147,179658.34572322512
757,128467.04792990128
2623,88295.36212407873
2378,148214.5730345344
1413,142079.1383471939
1722,239223.23132717377
1112,214374.81845599745
1623,194516.4725223262
1201,194433.79849246875
1513,105862.20444998337
957,381791.86662439804
1171,255449.14365608254
1145,194298.92204891154
2726,216598.87687523104
703,158794.6218364878
760,75804.92341194129
1964,139480.34614846337
2512,184286.08107435628
159,155568.7666488894
1281,176563.60931794267
468,186770.34483979025
290,129124.92934797287
665,90716.49727107216
1463,243011.99268146127
1792,209507.4888706979
923,146407.20659523248
500,285276.49131143716
1408,202762.27328123502
331,73573.12740287381
170,140302.74564247992
2192,89234.48081917959
2571,290319.47138307255
2314,176251.21779378146
2647,72877.91080414152
422,408769.22426864447
2457,350521.13061966
1838,225544.68870164276
2805,254071.02679040085
1645,161127.16578723866
1711,301985.60337778105
2825,264103.30533873755
322,340250.03989821475
2103,250426.49483373243
342,120039.64562745127
600,115757.16609587944
488,181600.83870652568
1725,333224.622495375
2246,275895.36414645595
2847,168727.3394590746
806,227772.43606940625
530,221879.23337113656
963,182108.38285857567
2678,89265.35299219778
171,83231.88440247661
2401,426133.83000980096
805,218057.1737242821
2259,227824.30535871687
1748,201499.5168512754
1361,119053.206967598
1677,110981.54574040273
1406,162779.22438289103
2322,267919.7969445522
688,157493.38559576438
143,129509.94982624186
804,203311.36451183292
1214,178265.9349899613
2828,171008.44626292487
1999,205041.7026385362
2467,201259.82855053418
2665,151362.39486204108
1538,310322.5271807794
398,111049.58448983719
2822,145332.94731321267
2157,149275.6228480554
1856,189369.71550852148
1269,112745.15585372613
2570,111699.36169439605
2320,244802.69048346713
1517,131298.90688377182
2304,107780.83821333089
1312,97857.48418627882
2012,132608.09463085266
506,262899.7393949645
2865,179778.73673984068
2367,101874.45917198413
554,99069.04467723973
238,130800.35305895878
1954,103443.53465878127
2488,148335.3458556349
2291,83422.81968277223
1969,103613.21720495675
2725,167187.76498693423
1482,153473.0727396963
2763,199818.60795877615
503,269918.34277153853
1584,256738.350716153
