id,SalePrice
2658,146365.26498310952
2718,162959.0344530097
2414,201727.77783262258
1989,116912.99599189364
625,188953.28251319425
333,96674.77898847814
1327,117703.14838083505
858,145186.21738345298
95,174530.20736801834
1568,177072.1608003281
2482,155284.08558253004
1364,128122.01935813285
2584,156221.86551145496
818,305180.29163335124
2673,166383.14791296053
2089,132342.69349674898
1297,157376.98183758496
790,117445.68905630049
2616,203103.17011358094
720,212517.07750473695
222,142373.79651338636
557,135438.33374165735
1148,188092.1822548025
2766,189413.43223273498
534,188723.03843953556
1452,116846.55149552612
630,135755.72269623887
2648,118894.57757828292
125,147011.34863317612
1904,69109.15101123159
1670,109602.55441661563
756,92586.6902547297
717,235910.2476219358
1032,159098.77116871098
852,212687.09733294905
1731,170997.39696291694
2639,121288.82097180272
2071,82139.93953963544
1267,106428.90612175073
1851,191793.71145175365
567,147743.05589784018
2439,208442.1997976885
1898,146375.1480370921
647,157135.7310027971
2256,222226.86005238997
979,119481.99592566714
1444,222111.04168116677
2485,123589.97731304416
157,123738.61044715052
88,127826.51812491383
2003,110221.97584900638
186,195967.1050134122
1425,254427.58881837555
2695,125091.74547406274
738,89652.97065983832
395,154981.672665681
1353,164649.41300008394
1878,147117.07780173307
390,183641.1810389996
1456,254076.28689047703
1103,343683.63288411417
1387,132290.75946168942
2070,153393.4058503807
1199,184498.96661987758
2479,172770.37157243994
501,321659.808058699
2362,107099.82244181444
1718,194346.02561801113
2188,95214.51559871185
1483,156121.58615550058
2557,75322.00917303769
437,358624.6139349905
2224,223135.17756928247
1628,158782.91509035954
397,127884.37255226806
587,205890.0529013578
2182,574557.9158406856
971,168344.58307644425
2611,142489.61980787397
1887,83435.1623530605
2399,371239.489223429
2148,206641.66374924395
304,119691.05856631795
1997,133058.46978123643
2817,118522.05672611011
1431,195408.32103712115
427,318289.3464051776
263,120885.00303882704
598,188713.93094415488
2895,262037.74513359158
687,155275.84231407975
1822,135120.23860682515
2191,116725.11554469235
179,129013.2062052039
1009,209144.26588561834
2010,120151.3638303408
1991,141118.16542751505
1411,148025.1099430879
1721,223733.33879793028
1144,185028.8317840156
593,217398.60947278206
575,282314.24474936805
1249,185816.56346012314
1604,132147.1977868765
1064,491879.3424454692
1923,173794.04968996908
1988,105120.15650975904
2325,173010.7421781822
114,215218.7311719574
2700,183189.8616344875
217,107630.46331882049
343,190872.03010663908
386,234268.58799794022
2005,122127.11363710581
2908,142481.1507791048
1814,242541.57090393818
2446,570806.6809398098
208,143732.0468253456
1679,102079.03499151018
822,341553.57780652377
6,193134.2697897923
1781,442871.65658451413
2397,287194.5599606442
2340,316936.6174422967
1618,169746.3284714279
2843,107709.13680884158
1061,375212.1308208996
2786,120680.51795152975
1935,138373.67843641754
1341,116036.16982701441
521,294457.6235041377
2136,131271.21794534015
996,199062.79912444454
227,149547.85573603807
135,173052.65905249582
1167,159309.5300078384
294,235790.93556848192
1776,196886.8103848837
540,184676.71871173428
1717,191253.5221024127
2303,130768.00231380906
116,196092.8800557705
127,137347.07549707856
1371,132888.40183034734
